                          Bigram               Count*          Probability
                    referring to           0.42362073         1.5501912E-5
                   to threatened           0.42362073         1.5501912E-5
                    threatened 5           0.42362073         1.5501912E-5
                             5 %            2.5416667          9.300936E-5
              % across-the-board           0.42362073         1.5501912E-5
         across-the-board budget           0.42362073         1.5501912E-5
                     budget cuts            1.5078534         5.5178152E-5
                    Mr. Thompson           0.42362073         1.5501912E-5
                     Thompson is           0.42362073         1.5501912E-5
                     is believed            3.1762295         1.1623045E-4
                     believed to            2.5416667          9.300936E-5
                         to have             6.535948         2.3917545E-4
                          have a            3.1762295         1.1623045E-4
                       a mandate           0.42362073         1.5501912E-5
                    mandate from           0.42362073         1.5501912E-5
                        from the            96.181816         0.0035196624
                       the board                  0.0                  0.0
                        board of            19.358025         7.0838456E-4
                    of directors             6.025974         2.2051355E-4
                    directors to            2.5416667          9.300936E-5
                         to help            3.1762295         1.1623045E-4
                    help improve           0.42362073         1.5501912E-5
                     improve the            1.5078534         5.5178152E-5
                        the Merc            1.5078534         5.5178152E-5
                         Merc 's            1.5078534         5.5178152E-5
                    's tarnished           0.42362073         1.5501912E-5
            tarnished reputation           0.42362073         1.5501912E-5
                   reputation as           0.42362073         1.5501912E-5
                           as an            3.1762295         1.1623045E-4
                     an exchange           0.42362073         1.5501912E-5
                  exchange whose           0.42362073         1.5501912E-5
                     whose floor           0.42362073         1.5501912E-5
                   floor traders            1.5078534         5.5178152E-5
                      traders do           0.42362073         1.5501912E-5
                          do n't             6.025974         2.2051355E-4
                      n't follow           0.42362073         1.5501912E-5
                      follow the           0.42362073         1.5501912E-5
                       the rules           0.42362073         1.5501912E-5
                      rules very           0.42362073         1.5501912E-5
                       very well           0.42362073         1.5501912E-5
                          And as           0.42362073         1.5501912E-5
                           as of            1.5078534         5.5178152E-5
                         of last           0.42362073         1.5501912E-5
                      last night           0.42362073         1.5501912E-5
                         night ,           0.42362073         1.5501912E-5
                           , Fed            2.5416667          9.300936E-5
                    Fed Chairman            2.5416667          9.300936E-5
              Chairman Greenspan            2.5416667          9.300936E-5
                   Greenspan had           0.42362073         1.5501912E-5
                         had n't            2.5416667          9.300936E-5
                    n't canceled           0.42362073         1.5501912E-5
                    canceled his           0.42362073         1.5501912E-5
                       his plans           0.42362073         1.5501912E-5
                        plans to                 8.47          3.099499E-4
                      to address            1.5078534         5.5178152E-5
                     address the            1.5078534         5.5178152E-5
                    the American            1.5078534         5.5178152E-5
                American Bankers           0.42362073         1.5501912E-5
             Bankers Association           0.42362073         1.5501912E-5
          Association convention           0.42362073         1.5501912E-5
                   convention in            1.5078534         5.5178152E-5
                   in Washington            2.5416667          9.300936E-5
                   Washington at           0.42362073         1.5501912E-5
                           at 10           0.42362073         1.5501912E-5
                         10 a.m.           0.42362073         1.5501912E-5
                       a.m. this           0.42362073         1.5501912E-5
                    this morning            1.5078534         5.5178152E-5
                     He succeeds            4.2777777         1.5654034E-4
                   succeeds Paul           0.42362073         1.5501912E-5
                         Paul J.           0.42362073         1.5501912E-5
                       J. Montle           0.42362073         1.5501912E-5
                        Montle ,           0.42362073         1.5501912E-5
                            , 42            1.5078534         5.5178152E-5
                            42 ,           0.42362073         1.5501912E-5
                           , who                  0.0                  0.0
                        who will            11.870689         4.3439417E-4
                     will remain            4.7115383          1.724133E-4
                 remain chairman            4.8774195         1.7848353E-4
                     Despite the           0.42362073         1.5501912E-5
                   the Composite           0.42362073         1.5501912E-5
                    Composite 's           0.42362073         1.5501912E-5
                      's advance           0.42362073         1.5501912E-5
                       advance ,           0.42362073         1.5501912E-5
                          , some            2.5416667          9.300936E-5
                    some trading           0.42362073         1.5501912E-5
               trading officials           0.42362073         1.5501912E-5
                   officials are            2.5416667          9.300936E-5
                   are guardedly           0.42362073         1.5501912E-5
            guardedly optimistic           0.42362073         1.5501912E-5
                 optimistic that           0.42362073         1.5501912E-5
                        that the             54.01923         0.0019767713
                      the market            4.7115383          1.724133E-4
                       market is            1.5078534         5.5178152E-5
                           is on            1.5078534         5.5178152E-5
                          on the             67.01538         0.0024523505
                        the road                 14.7         5.3792953E-4
                         road to            3.1762295         1.1623045E-4
                     to recovery            1.5078534         5.5178152E-5
                         `` What           0.42362073         1.5501912E-5
                         What 's           0.42362073         1.5501912E-5
                  's encouraging           0.42362073         1.5501912E-5
               encouraging about           0.42362073         1.5501912E-5
                      about this            1.5078534         5.5178152E-5
                         this is            2.5416667          9.300936E-5
                         is that            11.870689         4.3439417E-4
                     that retail           0.42362073         1.5501912E-5
                   retail chains            1.5078534         5.5178152E-5
                     chains will           0.42362073         1.5501912E-5
                         will be            26.041666          9.529647E-4
                         be sold           0.42362073         1.5501912E-5
                         sold on           0.42362073         1.5501912E-5
                          on the             67.01538         0.0024523505
                       the basis           0.42362073         1.5501912E-5
                        basis of           0.42362073         1.5501912E-5
                        of their            1.5078534         5.5178152E-5
                     their sales           0.42362073         1.5501912E-5
                       sales and            1.5078534         5.5178152E-5
                    and earnings           0.42362073         1.5501912E-5
                      earnings ,           0.42362073         1.5501912E-5
                           , not            2.5416667          9.300936E-5
                 not liquidation           0.42362073         1.5501912E-5
              liquidation values           0.42362073         1.5501912E-5
                        values ,           0.42362073         1.5501912E-5
                            , ''                  0.0                  0.0
                         '' said                  0.0                  0.0
                     said Joseph            2.5416667          9.300936E-5
                       Joseph E.            1.5078534         5.5178152E-5
                       E. Brooks           0.42362073         1.5501912E-5
                        Brooks ,           0.42362073         1.5501912E-5
                      , chairman                  0.0                  0.0
                    chairman and                  0.0                  0.0
                       and chief                  0.0                  0.0
                 chief executive                  0.0                  0.0
               executive officer            116.00877          0.004245207
                      officer of                  0.0                  0.0
                          of Ann           0.42362073         1.5501912E-5
                      Ann Taylor           0.42362073         1.5501912E-5
                     Taylor Inc.           0.42362073         1.5501912E-5
                          Inc. ,                  0.0                  0.0
                             , a                  0.0                  0.0
                     a specialty           0.42362073         1.5501912E-5
                 specialty chain           0.42362073         1.5501912E-5
                        A former           0.42362073         1.5501912E-5
                 former chairman            4.7115383          1.724133E-4
                     chairman of                  0.0                  0.0
                          of the                  0.0                  0.0
                   the president            3.1762295         1.1623045E-4
                    president 's           0.42362073         1.5501912E-5
                      's Council           0.42362073         1.5501912E-5
                      Council of            4.8774195         1.7848353E-4
                     of Economic            3.1762295         1.1623045E-4
               Economic Advisers            3.1762295         1.1623045E-4
                      Advisers ,            1.5078534         5.5178152E-5
                           , Mr.            19.358025         7.0838456E-4
                       Mr. Stein           0.42362073         1.5501912E-5
                        Stein is           0.42362073         1.5501912E-5
                           is an            3.1762295         1.1623045E-4
                     an American           0.42362073         1.5501912E-5
             American Enterprise           0.42362073         1.5501912E-5
            Enterprise Institute           0.42362073         1.5501912E-5
                Institute fellow           0.42362073         1.5501912E-5
                        S. Waite           0.42362073         1.5501912E-5
                     Waite Rawls           0.42362073         1.5501912E-5
                       Rawls III           0.42362073         1.5501912E-5
                           III ,            2.5416667          9.300936E-5
                          , vice            24.083334         8.8130176E-4
                   vice chairman                  0.0                  0.0
                     chairman of                  0.0                  0.0
                  of Continental            1.5078534         5.5178152E-5
                Continental Bank           0.42362073         1.5501912E-5
                          Bank ,            1.5078534         5.5178152E-5
                         , First            1.5078534         5.5178152E-5
                   First Options           0.42362073         1.5501912E-5
                       Options '           0.42362073         1.5501912E-5
                        ' parent            1.5078534         5.5178152E-5
                  parent company            1.5078534         5.5178152E-5
                       company ,            26.041666          9.529647E-4
                          , said                  0.0                  0.0
                        said the                  0.0                  0.0
                        the firm            1.5078534         5.5178152E-5
                       firm took           0.42362073         1.5501912E-5
                         took on           0.42362073         1.5501912E-5
                        on about           0.42362073         1.5501912E-5
                       about 160           0.42362073         1.5501912E-5
                    160 accounts           0.42362073         1.5501912E-5
               accounts formerly           0.42362073         1.5501912E-5
                   formerly held           0.42362073         1.5501912E-5
                         held by            2.5416667          9.300936E-5
                      by Fossett           0.42362073         1.5501912E-5
                       Fossett ,           0.42362073         1.5501912E-5
                        , almost            1.5078534         5.5178152E-5
                      almost all           0.42362073         1.5501912E-5
                          all of            2.5416667          9.300936E-5
                         of them           0.42362073         1.5501912E-5
                  them belonging           0.42362073         1.5501912E-5
                    belonging to           0.42362073         1.5501912E-5
                 to professional           0.42362073         1.5501912E-5
              professional floor           0.42362073         1.5501912E-5
                   floor traders            1.5078534         5.5178152E-5
                            In a            13.090909          4.790467E-4
                       a related            1.5078534         5.5178152E-5
                    related move            1.5078534         5.5178152E-5
                          move ,            1.5078534         5.5178152E-5
                           , the                  0.0                  0.0
                        the bank            16.095238          5.889866E-4
                       bank also           0.42362073         1.5501912E-5
                   also proposed           0.42362073         1.5501912E-5
                   proposed that           0.42362073         1.5501912E-5
                      that board           0.42362073         1.5501912E-5
            board representation            2.5416667          9.300936E-5
               representation be           0.42362073         1.5501912E-5
                       be linked           0.42362073         1.5501912E-5
                     linked more           0.42362073         1.5501912E-5
                    more closely           0.42362073         1.5501912E-5
                      closely to           0.42362073         1.5501912E-5
                          to the                  0.0                  0.0
                        the bank            16.095238          5.889866E-4
                         bank 's                 8.47          3.099499E-4
                          's new            4.2777777         1.5654034E-4
                new shareholding           0.42362073         1.5501912E-5
          shareholding structure           0.42362073         1.5501912E-5
                       The pilot           0.42362073         1.5501912E-5
                     pilot union            1.5078534         5.5178152E-5
                        union is           0.42362073         1.5501912E-5
                       is vowing           0.42362073         1.5501912E-5
                       vowing to           0.42362073         1.5501912E-5
                       to pursue            2.5416667          9.300936E-5
                       pursue an           0.42362073         1.5501912E-5
                  an acquisition           0.42362073         1.5501912E-5
            acquisition whatever           0.42362073         1.5501912E-5
                    whatever the           0.42362073         1.5501912E-5
                       the board                  0.0                  0.0
                   board decides           0.42362073         1.5501912E-5
                           But a            2.5416667          9.300936E-5
                         a lower            2.5416667          9.300936E-5
                       lower bid           0.42362073         1.5501912E-5
                       bid could           0.42362073         1.5501912E-5
                      could face           0.42362073         1.5501912E-5
                  face rejection           0.42362073         1.5501912E-5
                    rejection by           0.42362073         1.5501912E-5
                          by the                  0.0                  0.0
                         the UAL            28.928572         0.0010586077
                       UAL board             5.688889         2.0817832E-4
                    Arthur Burns           0.42362073         1.5501912E-5
                         Burns ,            1.5078534         5.5178152E-5
                       , Federal            2.5416667          9.300936E-5
                 Federal Reserve            4.2777777         1.5654034E-4
                   Reserve Board            3.1762295         1.1623045E-4
                  Board chairman            1.5078534         5.5178152E-5
                      chairman ,                  0.0                  0.0
                          , said                  0.0                  0.0
                        said the                  0.0                  0.0
                  the government            4.2777777         1.5654034E-4
                   government 's            1.5078534         5.5178152E-5
                           's ``            3.1762295         1.1623045E-4
                         `` luck           0.42362073         1.5501912E-5
                         luck ''           0.42362073         1.5501912E-5
                           '' in            4.8774195         1.7848353E-4
                      in keeping           0.42362073         1.5501912E-5
                     keeping the            1.5078534         5.5178152E-5
                        the bank            16.095238          5.889866E-4
                       bank open           0.42362073         1.5501912E-5
                         open --           0.42362073         1.5501912E-5
                      -- despite           0.42362073         1.5501912E-5
                   despite being           0.42362073         1.5501912E-5
                       being the           0.42362073         1.5501912E-5
                the then-biggest           0.42362073         1.5501912E-5
               then-biggest U.S.           0.42362073         1.5501912E-5
                       U.S. bank           0.42362073         1.5501912E-5
                    bank failure           0.42362073         1.5501912E-5
                      failure --           0.42362073         1.5501912E-5
                    -- prevented           0.42362073         1.5501912E-5
                    prevented ``           0.42362073         1.5501912E-5
                        `` shock           0.42362073         1.5501912E-5
                     shock waves           0.42362073         1.5501912E-5
                    waves around           0.42362073         1.5501912E-5
                      around the            4.2777777         1.5654034E-4
                     the country            3.1762295         1.1623045E-4
                     country and           0.42362073         1.5501912E-5
                      and around           0.42362073         1.5501912E-5
                      around the            4.2777777         1.5654034E-4
                       the world            2.5416667          9.300936E-5
                   '' Separately           0.42362073         1.5501912E-5
                    Separately ,            2.5416667          9.300936E-5
                           , the                  0.0                  0.0
                       the board                  0.0                  0.0
                  board expanded            1.5078534         5.5178152E-5
                     expanded to            1.5078534         5.5178152E-5
                          to six            4.8774195         1.7848353E-4
                     six members            1.5078534         5.5178152E-5
                    members with           0.42362073         1.5501912E-5
                        with the               10.816         3.9579903E-4
                    the election           0.42362073         1.5501912E-5
                     election of           0.42362073         1.5501912E-5
                        of David           0.42362073         1.5501912E-5
                        David L.            2.5416667          9.300936E-5
                   L. Holewinski           0.42362073         1.5501912E-5
                    Holewinski ,           0.42362073         1.5501912E-5
                             , a                  0.0                  0.0
                    a consultant            4.8774195         1.7848353E-4
                   Bertin Nadeau           0.42362073         1.5501912E-5
                        Nadeau ,           0.42362073         1.5501912E-5
                         , newly           0.42362073         1.5501912E-5
                 newly appointed           0.42362073         1.5501912E-5
              appointed chairman           0.42362073         1.5501912E-5
                    chairman and                  0.0                  0.0
                     and interim           0.42362073         1.5501912E-5
                   interim chief           0.42362073         1.5501912E-5
                 chief executive                  0.0                  0.0
                    executive of            28.928572         0.0010586077
                      of Provigo           0.42362073         1.5501912E-5
                       Provigo ,           0.42362073         1.5501912E-5
                         , would            11.870689         4.3439417E-4
                       would n't             6.535948         2.3917545E-4
                         n't say            1.5078534         5.5178152E-5
                          say if           0.42362073         1.5501912E-5
                          if Mr.           0.42362073         1.5501912E-5
                      Mr. Lortie           0.42362073         1.5501912E-5
                      Lortie was           0.42362073         1.5501912E-5
                       was asked           0.42362073         1.5501912E-5
                        asked to           0.42362073         1.5501912E-5
                        to leave           0.42362073         1.5501912E-5
                     Delmed said           0.42362073         1.5501912E-5
                     said Robert            4.8774195         1.7848353E-4
                       Robert S.            1.5078534         5.5178152E-5
                      S. Ehrlich            1.5078534         5.5178152E-5
                Ehrlich resigned           0.42362073         1.5501912E-5
                     resigned as             6.535948         2.3917545E-4
                     as chairman               10.816         3.9579903E-4
                      chairman ,                  0.0                  0.0
                     , president                  0.0                  0.0
                   president and             47.02222         0.0017207238
                       and chief                  0.0                  0.0
                 chief executive                  0.0                  0.0
                     Los Angeles            2.5416667          9.300936E-5
                Angeles investor           0.42362073         1.5501912E-5
                 investor Marvin           0.42362073         1.5501912E-5
                    Marvin Davis           0.42362073         1.5501912E-5
                         Davis ,            4.8774195         1.7848353E-4
                         , whose            4.8774195         1.7848353E-4
                         whose $           0.42362073         1.5501912E-5
                   $ 275-a-share           0.42362073         1.5501912E-5
               275-a-share offer           0.42362073         1.5501912E-5
                       offer was            2.5416667          9.300936E-5
                    was rejected           0.42362073         1.5501912E-5
                     rejected by           0.42362073         1.5501912E-5
                          by UAL           0.42362073         1.5501912E-5
                          UAL 's            13.090909          4.790467E-4
                        's board                  0.0                  0.0
                         board ,                  0.0                  0.0
                           , has            16.095238          5.889866E-4
                         has n't             6.535948         2.3917545E-4
                       n't shown           0.42362073         1.5501912E-5
                     shown signs           0.42362073         1.5501912E-5
                        signs of           0.42362073         1.5501912E-5
                     of pursuing            1.5078534         5.5178152E-5
                      pursuing a            1.5078534         5.5178152E-5
                             a $            11.870689         4.3439417E-4
                   $ 300-a-share            3.1762295         1.1623045E-4
             300-a-share back-up           0.42362073         1.5501912E-5
                     back-up bid           0.42362073         1.5501912E-5
                          bid he           0.42362073         1.5501912E-5
                         he made            1.5078534         5.5178152E-5
                       made last           0.42362073         1.5501912E-5
                      last month            4.2777777         1.5654034E-4
                         But the            4.2777777         1.5654034E-4
                       the board                  0.0                  0.0
                        board 's             9.529411          3.487178E-4
                     's decision                 8.47          3.099499E-4
               decision prompted           0.42362073         1.5501912E-5
                   prompted many           0.42362073         1.5501912E-5
                         many to           0.42362073         1.5501912E-5
                         to bail           0.42362073         1.5501912E-5
                        bail out           0.42362073         1.5501912E-5
                          out of                 8.47          3.099499E-4
                          of the                  0.0                  0.0
                       the stock            11.870689         4.3439417E-4
                 stock yesterday           0.42362073         1.5501912E-5
                Domestic lending           0.42362073         1.5501912E-5
                     lending for           0.42362073         1.5501912E-5
                        for real           0.42362073         1.5501912E-5
                     real estate             6.535948         2.3917545E-4
                      estate and           0.42362073         1.5501912E-5
                    and property            1.5078534         5.5178152E-5
            property development           0.42362073         1.5501912E-5
                 development was           0.42362073         1.5501912E-5
                         was the            3.1762295         1.1623045E-4
                      the source            2.5416667          9.300936E-5
                       source of            1.5078534         5.5178152E-5
                         of Bank            1.5078534         5.5178152E-5
                  Bank Bumiputra           0.42362073         1.5501912E-5
              Bumiputra Malaysia           0.42362073         1.5501912E-5
                   Malaysia Bhd.           0.42362073         1.5501912E-5
                         Bhd. 's           0.42362073         1.5501912E-5
                         's most            1.5078534         5.5178152E-5
                     most recent            2.5416667          9.300936E-5
                    recent spate           0.42362073         1.5501912E-5
                        spate of           0.42362073         1.5501912E-5
                    of financial           0.42362073         1.5501912E-5
              financial troubles           0.42362073         1.5501912E-5
                      troubles ,           0.42362073         1.5501912E-5
                           , the                  0.0                  0.0
                 the institution            1.5078534         5.5178152E-5
                  institution 's           0.42362073         1.5501912E-5
                    's executive            2.5416667          9.300936E-5
              executive chairman           0.42362073         1.5501912E-5
                      chairman ,                  0.0                  0.0
                       , Mohamed           0.42362073         1.5501912E-5
                   Mohamed Basir           0.42362073         1.5501912E-5
                    Basir Ismail           0.42362073         1.5501912E-5
                        Ismail ,           0.42362073         1.5501912E-5
                          , said                  0.0                  0.0
                      The filing            1.5078534         5.5178152E-5
                     filing adds           0.42362073         1.5501912E-5
                          adds a           0.42362073         1.5501912E-5
                           a new                 14.7         5.3792953E-4
                       new twist           0.42362073         1.5501912E-5
                        twist to           0.42362073         1.5501912E-5
                       to market            2.5416667          9.300936E-5
              market speculation           0.42362073         1.5501912E-5
                speculation that            3.1762295         1.1623045E-4
                   that Coniston            2.5416667          9.300936E-5
               Coniston Partners            2.5416667          9.300936E-5
                      Partners ,            3.1762295         1.1623045E-4
                             , a                  0.0                  0.0
                           a New            1.5078534         5.5178152E-5
                        New York            42.057693         0.0015390527
                      York money           0.42362073         1.5501912E-5
                   money manager           0.42362073         1.5501912E-5
                       manager ,           0.42362073         1.5501912E-5
                           , has            16.095238          5.889866E-4
                      has bought           0.42362073         1.5501912E-5
                     bought more           0.42362073         1.5501912E-5
                       more than            4.7115383          1.724133E-4
                          than 5           0.42362073         1.5501912E-5
                             5 %            2.5416667          9.300936E-5
                            % of             5.688889         2.0817832E-4
                          of UAL            4.8774195         1.7848353E-4
                       UAL stock            2.5416667          9.300936E-5
                       stock and            1.5078534         5.5178152E-5
                         and may           0.42362073         1.5501912E-5
                   may challenge            1.5078534         5.5178152E-5
                   challenge the            2.5416667          9.300936E-5
                         the UAL            28.928572         0.0010586077
                       UAL board             5.688889         2.0817832E-4
                        board 's             9.529411          3.487178E-4
                     's decision                 8.47          3.099499E-4
                   decision last           0.42362073         1.5501912E-5
                       last week                 8.47          3.099499E-4
                         week to           0.42362073         1.5501912E-5
                       to remain             6.025974         2.2051355E-4
              remain independent            4.8774195         1.7848353E-4
                   The effective           0.42362073         1.5501912E-5
                  effective date           0.42362073         1.5501912E-5
                         date of            1.5078534         5.5178152E-5
                          of any            2.5416667          9.300936E-5
                         any new           0.42362073         1.5501912E-5
                 new regulations           0.42362073         1.5501912E-5
                  regulations by           0.42362073         1.5501912E-5
                          by the                  0.0                  0.0
                     the current            11.870689         4.3439417E-4
                   current board            4.8774195         1.7848353E-4
                     board would            4.2777777         1.5654034E-4
                        would be            5.7619047         2.1085025E-4
                      be delayed           0.42362073         1.5501912E-5
                   delayed until           0.42362073         1.5501912E-5
                      until Oct.           0.42362073         1.5501912E-5
                          Oct. 1           0.42362073         1.5501912E-5
                          1 next           0.42362073         1.5501912E-5
                       next year            4.8774195         1.7848353E-4
                          year ,             6.025974         2.2051355E-4
                           , and                  0.0                  0.0
                         and the                  0.0                  0.0
                        the bill            4.2777777         1.5654034E-4
                      bill seeks           0.42362073         1.5501912E-5
                        seeks to           0.42362073         1.5501912E-5
                      to reverse           0.42362073         1.5501912E-5
                 reverse efforts           0.42362073         1.5501912E-5
                      efforts by           0.42362073         1.5501912E-5
                          by the                  0.0                  0.0
                 the corporation            1.5078534         5.5178152E-5
                  corporation to           0.42362073         1.5501912E-5
                          to cut           0.42362073         1.5501912E-5
                         cut off           0.42362073         1.5501912E-5
                       off funds           0.42362073         1.5501912E-5
                        funds to           0.42362073         1.5501912E-5
                      to service           0.42362073         1.5501912E-5
           service organizations           0.42362073         1.5501912E-5
              organizations such           0.42362073         1.5501912E-5
                         such as            1.5078534         5.5178152E-5
                          as the            4.2777777         1.5654034E-4
                        the Food           0.42362073         1.5501912E-5
                   Food Research           0.42362073         1.5501912E-5
                    Research and           0.42362073         1.5501912E-5
                      and Action           0.42362073         1.5501912E-5
                   Action Center           0.42362073         1.5501912E-5
                     The company            11.870689         4.3439417E-4
                    company also            1.5078534         5.5178152E-5
                      also named            2.5416667          9.300936E-5
                   named Michael           0.42362073         1.5501912E-5
                      Michael E.           0.42362073         1.5501912E-5
                      E. Gellert           0.42362073         1.5501912E-5
                       Gellert ,           0.42362073         1.5501912E-5
                             , a                  0.0                  0.0
                      a director            26.041666          9.529647E-4
                    director and            3.1762295         1.1623045E-4
                           and a            26.041666          9.529647E-4
                         a major            3.1762295         1.1623045E-4
               major shareholder           0.42362073         1.5501912E-5
                   shareholder ,           0.42362073         1.5501912E-5
                            , to            24.083334         8.8130176E-4
                         to fill            2.5416667          9.300936E-5
                        fill the           0.42362073         1.5501912E-5
                      the vacant           0.42362073         1.5501912E-5
                     vacant seat           0.42362073         1.5501912E-5
                         seat of           0.42362073         1.5501912E-5
                     of chairman            13.090909          4.790467E-4
                          But to           0.42362073         1.5501912E-5
                        to avoid            2.5416667          9.300936E-5
                       avoid the           0.42362073         1.5501912E-5
                        the risk           0.42362073         1.5501912E-5
                         risk of            1.5078534         5.5178152E-5
                    of rejection           0.42362073         1.5501912E-5
                     rejection ,           0.42362073         1.5501912E-5
                           , the                  0.0                  0.0
                       the group            4.2777777         1.5654034E-4
                      group does           0.42362073         1.5501912E-5
                        does n't            11.870689         4.3439417E-4
                        n't plan           0.42362073         1.5501912E-5
                         plan to            4.2777777         1.5654034E-4
                       to submit            1.5078534         5.5178152E-5
                      submit the            1.5078534         5.5178152E-5
                        the plan            2.5416667          9.300936E-5
                   plan formally           0.42362073         1.5501912E-5
                     formally at           0.42362073         1.5501912E-5
                            at a            24.083334         8.8130176E-4
                           a UAL           0.42362073         1.5501912E-5
                       UAL board             5.688889         2.0817832E-4
                   board meeting                 8.47          3.099499E-4
                   meeting today            1.5078534         5.5178152E-5
                     In addition             6.025974         2.2051355E-4
                      addition ,            4.2777777         1.5654034E-4
                           , the                  0.0                  0.0
                   the agreement            2.5416667          9.300936E-5
                 agreement calls           0.42362073         1.5501912E-5
                       calls for           0.42362073         1.5501912E-5
                     for Gilbert           0.42362073         1.5501912E-5
                      Gilbert H.           0.42362073         1.5501912E-5
                     H. Lamphere           0.42362073         1.5501912E-5
                      Lamphere ,           0.42362073         1.5501912E-5
                      , chairman                  0.0                  0.0
                     chairman of                  0.0                  0.0
                     of Prospect           0.42362073         1.5501912E-5
                  Prospect Group           0.42362073         1.5501912E-5
                        Group 's           0.42362073         1.5501912E-5
                    's executive            2.5416667          9.300936E-5
             executive committee            4.2777777         1.5654034E-4
                     committee ,            3.1762295         1.1623045E-4
                            , to            24.083334         8.8130176E-4
                           to be            30.035715         0.0010991223
                        be named            2.5416667          9.300936E-5
                  named chairman            4.7115383          1.724133E-4
                     chairman of                  0.0                  0.0
                            of a               10.816         3.9579903E-4
                  a restructured           0.42362073         1.5501912E-5
              restructured board           0.42362073         1.5501912E-5
                      board that            4.2777777         1.5654034E-4
                       that will            1.5078534         5.5178152E-5
                    will include            1.5078534         5.5178152E-5
                    include four           0.42362073         1.5501912E-5
                        four new           0.42362073         1.5501912E-5
                 new independent           0.42362073         1.5501912E-5
           independent directors            2.5416667          9.300936E-5
                       Sumner M.           0.42362073         1.5501912E-5
                     M. Redstone           0.42362073         1.5501912E-5
                      Redstone ,           0.42362073         1.5501912E-5
                        , Viacom           0.42362073         1.5501912E-5
                       Viacom 's           0.42362073         1.5501912E-5
                     's chairman                  0.0                  0.0
                      chairman ,                  0.0                  0.0
                          , said                  0.0                  0.0
                     said Viacom           0.42362073         1.5501912E-5
                       Viacom ``           0.42362073         1.5501912E-5
                      `` emerged           0.42362073         1.5501912E-5
                    emerged from           0.42362073         1.5501912E-5
                        from our           0.42362073         1.5501912E-5
                   our leveraged           0.42362073         1.5501912E-5
               leveraged buy-out            1.5078534         5.5178152E-5
               buy-out structure           0.42362073         1.5501912E-5
                   structure and           0.42362073         1.5501912E-5
                      and gained           0.42362073         1.5501912E-5
              gained substantial           0.42362073         1.5501912E-5
           substantial operating           0.42362073         1.5501912E-5
                   operating and           0.42362073         1.5501912E-5
                   and financial            3.1762295         1.1623045E-4
           financial flexibility           0.42362073         1.5501912E-5
             flexibility through           0.42362073         1.5501912E-5
                      through ''           0.42362073         1.5501912E-5
                          '' the            4.8774195         1.7848353E-4
                        the bank            16.095238          5.889866E-4
