                          Bigram                Count          Probability
                      , chairman                  187           0.02463958
                    chairman and                  140           0.02288961
                       and chief                  157          0.025147222
                 chief executive                  164          0.028467909
               executive officer                  114          0.019844694
                       officer ,                   56          0.009928584
                          , said                  100          0.013237221
                        said the                   32         0.0056055714
                     the company                   84          0.012080728
                      company ``                    3          6.952894E-4
                           `` is                    3          6.832935E-4
                           is at                    1         3.4524425E-4
                            at a                   16           0.00297932
                          a loss                    2          4.848093E-4
                         loss to                    1          3.564427E-4
                   to understand                    1          3.197442E-4
                  understand DPC                    1         3.5669698E-4
                          DPC 's                    1          3.565698E-4
                   's intentions                    1          3.338341E-4
                           '' ``                    6         0.0011971951
                        `` Today                    1         3.4164675E-4
                        Today 's                    1          3.565698E-4
                        's stock                    2         5.0075114E-4
                    stock market                    4          8.855827E-4
                  market decline                    1         3.5391966E-4
                    decline does                    1          3.563157E-4
                        does n't                    8         0.0016028495
                      n't signal                    1          3.511236E-4
                      signal any                    1         3.5669698E-4
                 any fundamental                    1         3.5517671E-4
              fundamental change                    1         3.5669698E-4
                       change in                    2          5.345688E-4
                          in the                   92          0.015590947
                   the condition                    2         4.2637862E-4
                    condition of                    1          3.565698E-4
                          of the                  266          0.040800735
                     the economy                    4           7.10631E-4
                       economy ,                    5         0.0010687567
                            , ''                  115          0.015203145
                           '' he                    4          8.551394E-4
                         he said                    4         8.7842584E-4
                   JMB officials                    1         3.5669698E-4
                   officials are                    3          7.116172E-4
                    are expected                    2         5.2938063E-4
                     expected to                    6         0.0012466607
                           to be                   28          0.004636291
                        be hired                    1          3.500175E-4
                        hired to                    1          3.566334E-4
                    to represent                    3          6.394884E-4
                   represent the                    1          3.564427E-4
                     the pension                    1         2.8425243E-4
                    pension fund                    1         3.5669698E-4
                         fund on                    1         3.5618877E-4
                          on the                   65          0.011466296
                       the Santa                    1         2.8425243E-4
                        Santa Fe                    4          8.912656E-4
                      Fe Pacific                    3          7.130125E-4
                  Pacific Realty                    2         5.3475937E-4
                    Realty board                    1          3.566334E-4
                         board ,                   32          0.005525787
                           , Mr.                   27         0.0036697248
                      Mr. Roulac                    1         3.4578147E-4
                     Roulac said                    1         3.5669698E-4
                          said ,                   13         0.0023781213
                            , to                   16         0.0022280472
                     to insulate                    1          3.197442E-4
                    insulate the                    1          3.566334E-4
                        the fund                    3         5.6850485E-4
                       fund from                    1         3.5618877E-4
                  from potential                    1         3.5161743E-4
             potential liability                    1          3.563792E-4
              liability problems                    1         3.5669698E-4
                          `` Who                    1         3.4164675E-4
                       Who would                    1          3.566334E-4
                       would the                    1         3.5137034E-4
                       the board                  144            0.0206083
                        board be                    1         3.3489618E-4
                      be working                    1          3.500175E-4
                     working for                    1         3.5650624E-4
                          for --                    1          3.471017E-4
                          -- the                    2         5.3267047E-4
                      the public                    2         4.2637862E-4
             public shareholders                    1          3.563157E-4
                 shareholders or                    1         3.5606197E-4
                          or the                    3         7.0646417E-4
                      the pilots                    6          9.948835E-4
                        pilots ?                    1         3.5606197E-4
                            ? ''                    3          7.127584E-4
                          '' she                    1         3.4205575E-4
                        she adds                    1          3.563792E-4
                       Mr. Field                    1         3.4578147E-4
                      Field also                    1          3.566334E-4
                        also had                    1         3.5323208E-4
                        had been                   11         0.0021223912
                   been chairman                    2          5.315379E-4
                     chairman of                  225          0.036688313
                     of McKesson                    1          3.056235E-4
                  McKesson Corp.                    1         3.5669698E-4
                         Corp. ,                   37         0.0067066713
                     , resigning                    1          2.621232E-4
                  resigning that                    1          3.566334E-4
                       that post                    1          3.411223E-4
                      post after                    1          3.557453E-4
                         after a                    6         0.0012424565
                       a dispute                    2          4.848093E-4
                    dispute with                    2         5.3495006E-4
                        with the                   25          0.004549431
                       the board                  144            0.0206083
                      board over                    1         3.3489618E-4
                  over corporate                    1          3.554292E-4
              corporate strategy                    1         3.5625222E-4
                           `` To                    1         3.4164675E-4
                          To get                    1         3.5650624E-4
                      get people                    1         3.5625222E-4
                       people 's                    1         3.5606197E-4
                    's attention                    1          3.338341E-4
                 attention these                    1          3.566334E-4
                      these days                    1          3.563157E-4
                          days ,                    1          3.564427E-4
                            , ''                  115          0.015203145
                         '' says                   37         0.0064990595
                    says Douglas                    1         3.5323208E-4
                  Douglas Bailey                    1          3.565698E-4
                        Bailey ,                    1          3.565698E-4
                             , a                   68           0.00904325
                     a political                    1         3.2320622E-4
            political consultant                    1         3.5650624E-4
                    consultant ,                    1          3.563157E-4
                            , ``                   17         0.0023591088
                         `` your                    1         3.4164675E-4
                         your TV                    1          3.564427E-4
                           TV ad                    1          3.564427E-4
                        ad needs                    1          3.563157E-4
                        needs to                    1          3.565698E-4
                           to be                   28          0.004636291
                         be bold                    2         5.2502623E-4
                        bold and                    3         7.1187044E-4
                and entertaining                    1         3.1831927E-4
                  entertaining ,                    1         3.5669698E-4
                           , and                   88          0.011664483
                           and ,                    2          4.774789E-4
                          , more                    2          3.931848E-4
                      more often                    1         3.5517671E-4
                      often than                    1          3.565698E-4
                        than not                    1          3.550506E-4
                           not ,                    1          3.553029E-4
                          , that                    4           6.55308E-4
                      that means                    2         5.1168347E-4
           means confrontational                    1          3.565698E-4
                          But if                    1          3.549246E-4
                          if the                    5         0.0010659087
                       the board                  144            0.0206083
                   board rejects                    1         3.3489618E-4
                       rejects a                    1         3.5669698E-4
                       a reduced                    1         3.2320622E-4
                     reduced bid                    1          3.563792E-4
                         bid and                    2          5.323869E-4
                     and decides                    1         3.1831927E-4
                      decides to                    1          3.566334E-4
                      to explore                    1          3.197442E-4
                   explore other                    1         3.5669698E-4
              other alternatives                    1         3.5454705E-4
                  alternatives ,                    1         3.5669698E-4
                            , it                   12         0.0017038007
                        it could                    2          5.259467E-4
                 could transform                    1         3.5517671E-4
                  transform what                    1         3.5669698E-4
                        what has                    1          3.557453E-4
                        has been                   17         0.0031601123
                          been a                    3          7.087172E-4
                    a harmonious                    1         3.2320622E-4
              harmonious process                    1         3.5669698E-4
                    process into                    1          3.564427E-4
                         into an                    2         5.3304905E-4
                  an adversarial                    1           3.51803E-4
                 adversarial one                    1         3.5669698E-4
                   One advantage                    1         3.5593522E-4
                   advantage the                    1          3.566334E-4
                     the buy-out                    5         8.5275725E-4
                   buy-out group                    5         0.0010672358
                   group intends                    1          3.539823E-4
                      intends to                    1         3.5669698E-4
                        to press                    1          3.197442E-4
                      press with                    1          3.566334E-4
                        with the                   25          0.004549431
                       the board                  144            0.0206083
                        board is                    8         0.0015070328
                         is that                    8         0.0015535991
                     that pilots                    1          3.411223E-4
                     pilots have                    1         3.5606197E-4
                     have agreed                    2           5.29661E-4
                       agreed to                    8         0.0016028495
                         to make                    5          9.592326E-4
                          make $                    2         5.3409295E-4
                           $ 200                    4          8.762706E-4
                     200 million                    3          7.130125E-4
                      million in                    7         0.0014139272
                       in annual                    2          5.029338E-4
                     annual cost                    2         5.3437834E-4
                cost concessions                    2          5.345688E-4
                  concessions to                    1          3.565698E-4
                         to help                    4          7.993605E-4
                    help finance                    1         3.5618877E-4
                       finance a                    2          5.345688E-4
                           a bid                    6         0.0011312218
                      When there                    1          3.564427E-4
                       there are                    4         8.8904693E-4
                        are well                    1          3.529204E-4
                   well problems                    1         3.5599858E-4
                      problems ,                    4           8.90948E-4
                         , light                    1          2.621232E-4
                  light problems                    1          3.564427E-4
                      problems ,                    4           8.90948E-4
                          , road                    2          3.931848E-4
                   road problems                    1         3.5379446E-4
                      problems ,                    4           8.90948E-4
                           , the                  111          0.014678899
                  the government                    6          9.948835E-4
                government tells                    1         3.5593522E-4
                        tells us                    1         3.5669698E-4
                           us to                    2          5.342832E-4
                       to forget                    1          3.197442E-4
                       forget it                    1         3.5669698E-4
                     '' Investor                    1         3.4205575E-4
                 Investor Robert                    1          3.566334E-4
                       Robert M.                    4          8.855827E-4
                       M. Gintel                    2         5.3314376E-4
                        Gintel ,                    3          7.130125E-4
                           , who                   63          0.008387943
                        who owns                    2          5.259467E-4
                          owns a                    1          3.564427E-4
                           a 4.7                    1         3.2320622E-4
                           4.7 %                    1         3.5669698E-4
                         % stake                   12         0.0022968198
                        stake in                   13         0.0024888888
                          in the                   92          0.015590947
                     the company                   84          0.012080728
                       company ,                   24          0.004345559
                          , said                  100          0.013237221
                         said he                   21         0.0037370478
                        he plans                    3          7.027407E-4
                         plans a                    1         3.5568202E-4
                         a proxy                    4          8.080155E-4
                     proxy fight                    3          7.130125E-4
                       fight for                    1         3.5650624E-4
                     for control                    2         5.2065257E-4
                      control of                    5         0.0010678057
                          of its                   29          0.004584352
                       its board                   34          0.006102877
                            I 'm                    5         0.0010670461
                         'm sure                    1          3.564427E-4
                       sure they                    1         3.5669698E-4
                        they 'll                    1         3.5417036E-4
                          'll do                    1         3.5669698E-4
                         do what                    1         3.5561877E-4
                         what 's                    3          7.114906E-4
                        's right                    1          3.338341E-4
                         right ,                    1         3.5650624E-4
                          , what                    2          3.931848E-4
                         what 's                    3          7.114906E-4
                      's prudent                    1          3.338341E-4
                       prudent ,                    1          3.566334E-4
                          , what                    2          3.931848E-4
                         what 's                    3          7.114906E-4
                     's sensible                    1          3.338341E-4
                      sensible ,                    1         3.5669698E-4
                            , ''                  115          0.015203145
                           '' he                    4          8.551394E-4
                         he said                    4         8.7842584E-4
                    Earlier this                    3          7.131396E-4
                      this month                    4          8.776549E-4
                       month the                    1          3.558719E-4
                     the company                   84          0.012080728
                    company said                    4         8.6911174E-4
                        said its                   21         0.0037370478
                       its board                   34          0.006102877
                  board approved                    9          0.001674481
                      approved a                    5         0.0010672358
                      a proposed                    1         3.2320622E-4
         proposed management-led                    1         3.5650624E-4
        management-led leveraged                    1         3.5669698E-4
               leveraged buy-out                    2         5.3475937E-4
                      buy-out at                    1          3.557453E-4
                            at $                    4          8.762706E-4
                         $ 25.50                    1         3.5050823E-4
                         25.50 a                    1         3.5669698E-4
                         a share                   19          0.003232062
                         share ,                   11         0.0021321962
                            , or                   18         0.0024901703
                            or $                    5         0.0010596962
                           $ 750                    1         3.5050823E-4
                     750 million                    1         3.5669698E-4
                      Mr. Butler                    1         3.4578147E-4
                     Butler will                    1         3.5650624E-4
                     will remain                   13         0.0024475525
                       remain on                    5         0.0010659087
                          on the                   65          0.011466296
                       the board                  144            0.0206083
                        board as                    4          8.372405E-4
                            as a                   25          0.004517026
                  a nonexecutive                    5          9.696186E-4
           nonexecutive director                    5         0.0010691376
                           It is                    4          8.884151E-4
                          is n't                   15          0.002761954
                           n't a                    1          3.511236E-4
                       a current                    1         3.2320622E-4
                   current topic                    1         3.5568202E-4
                        topic of                    1         3.5669698E-4
                 of conversation                    1          3.056235E-4
                 conversation at                    1         3.5669698E-4
                          at the                   28         0.0050823693
                     the company                   84          0.012080728
                       company ,                   24          0.004345559
                            , ''                  115          0.015203145
                         '' said                   48          0.008380366
                      said Barry                    1          3.397316E-4
                    Barry Diller                    1         3.5669698E-4
                        Diller ,                    1         3.5669698E-4
                      , chairman                  187           0.02463958
                    chairman and                  140           0.02288961
                       and chief                  157          0.025147222
                 chief executive                  164          0.028467909
               executive officer                  114          0.019844694
                      officer of                   46          0.008186727
                          of the                  266          0.040800735
                         the Fox                    1         2.8425243E-4
                        Fox Inc.                    1         3.5669698E-4
                       Inc. unit                    1         3.5354428E-4
                         unit of                    3          7.116172E-4
                         of News                    1          3.056235E-4
                       News Corp                    1          3.566334E-4
                      Jack Davis                    2         5.3447357E-4
                         Davis ,                    5         0.0010689471
                  , Dataproducts                    2          3.931848E-4
                  Dataproducts '                    3          7.128854E-4
                      ' chairman                    1         3.5536604E-4
                      chairman ,                   92          0.015097403
                          , said                  100          0.013237221
                         said he                   21         0.0037370478
                          he had                    4         8.7842584E-4
                         had n't                    3         7.0746377E-4
                         n't yet                    2          5.266854E-4
                        yet seen                    2           5.34664E-4
                        seen the                    2           5.34664E-4
                      the filing                    1         2.8425243E-4
                      filing and                    1          3.563792E-4
                       and could                    2          4.774789E-4
                       could n't                    4         8.8794174E-4
                     n't comment                    3          7.022472E-4
                         The Fed                    2         5.2101427E-4
                    Fed provides                    1         3.5555556E-4
                  provides money                    1          3.565698E-4
                        money to                    2         5.3409295E-4
                          to the                   85          0.013749001
                     the banking                    4           7.10631E-4
                  banking system                    1         3.5618877E-4
                       system by                    1          3.564427E-4
                       by buying                    1         3.4837137E-4
               buying government                    1          3.565698E-4
           government securities                    1         3.5593522E-4
                 securities from                    1         3.5618877E-4
                  from financial                    1         3.5161743E-4
          financial institutions                    1          3.553029E-4
                          Now he                    1          3.565698E-4
                           he is                    9         0.0017568517
                      is writing                    1         3.4524425E-4
                       writing a                    1          3.566334E-4
                          a book                    1         3.2320622E-4
                          book ,                    1          3.566334E-4
                       , serving                    1          2.621232E-4
                      serving on                    1         3.5669698E-4
                           on an                    2          5.211953E-4
                        an elite                    1           3.51803E-4
                   elite foreign                    1         3.5669698E-4
                  foreign policy                    1          3.563792E-4
                 policy advisory                    1          3.563792E-4
                  advisory board                    2         5.3495006E-4
                       board and                   10          0.001841929
                  and consulting                    1         3.1831927E-4
                  consulting for                    1         3.5650624E-4
                          for an                    3          6.942034E-4
                        an array                    1           3.51803E-4
                        array of                    2         5.3495006E-4
                    of corporate                    3           6.11247E-4
               corporate clients                    1         3.5625222E-4
                       clients ,                    1          3.565698E-4
                     , including                   10         0.0014416776
               including British                    1         3.5593522E-4
              British publishing                    1          3.558719E-4
                publishing mogul                    1         3.5650624E-4
                    mogul Robert                    1         3.5669698E-4
                  Robert Maxwell                    2          5.313496E-4
                     He succeeds                    6         0.0012409147
                     succeeds as                    2         5.3380785E-4
                    as president                    6         0.0012161223
                     president ,                   19          0.003511236
                           , Don                    1          2.621232E-4
                    Don Freeberg                    1         3.5669698E-4
                      Freeberg ,                    1         3.5669698E-4
                           , who                   63          0.008387943
                     who remains                    4         8.7657786E-4
                remains chairman                    8         0.0016019936
                    chairman and                  140           0.02288961
                       and chief                  157          0.025147222
                 chief executive                  164          0.028467909
               executive officer                  114          0.019844694
                      William A.                    1          3.550506E-4
                         A. Wise                    1          3.554292E-4
                          Wise ,                    1         3.5669698E-4
                            , 44                    1          2.621232E-4
                        44 years                    1         3.5669698E-4
                       years old                   29          0.005304102
                           old ,                   26          0.004787234
                     , president                   35         0.0047182175
                    president of                   14          0.002633427
                          of the                  266          0.040800735
                          the El                    1         2.8425243E-4
                         El Paso                    1         3.5669698E-4
                    Paso Natural                    1         3.5669698E-4
                     Natural Gas                    1         3.5669698E-4
                         Gas Co.                    1          3.566334E-4
                        Co. unit                    1         3.5460992E-4
                         unit of                    3          7.116172E-4
                         of this                   53          0.008251834
                     this energy                    1         3.5106196E-4
                      energy and                    1          3.566334E-4
           and natural-resources                    1         3.1831927E-4
       natural-resources concern                    1         3.5669698E-4
                       concern ,                    9         0.0017777778
                           , was                   51          0.006815203
                       was named                   42         0.0074381595
                        named to                   11         0.0021190182
                          to the                   85          0.013749001
                  the additional                   10         0.0015633883
                 additional post                    4         8.8936323E-4
                         post of                    7         0.0014229811
                        of chief                    2          4.584352E-4
                 chief executive                  164          0.028467909
               executive officer                  114          0.019844694
                       officer ,                   56          0.009928584
                    , succeeding                    9          0.001310616
               succeeding Travis                    1         3.5618877E-4
                       Travis H.                    1         3.5669698E-4
                        H. Petty                    1         3.5606197E-4
                         Petty ,                    1         3.5669698E-4
                            , 61                    4           6.55308E-4
                            61 ,                    2           5.34664E-4
                           , who                   63          0.008387943
                   who continues                    2          5.259467E-4
                    continues as                    3          7.126314E-4
                            as a                   25          0.004517026
                          a vice                    5          9.696186E-4
                   vice chairman                   43         0.0077711055
                     chairman of                  225          0.036688313
                          of the                  266          0.040800735
                      the parent                    5         8.5275725E-4
                      Fannie Mae                    4          8.912656E-4
                        Mae also                    1         3.5650624E-4
                       also said                   10         0.0019427764
                      said James                    2          5.095974E-4
                        James A.                    5         0.0010653409
                       A. Aliber                    1          3.554292E-4
                        Aliber ,                    1         3.5669698E-4
                      , chairman                  187           0.02463958
                     chairman of                  225          0.036688313
                        of First                    5          9.168704E-4
                   First Federal                    1         3.5625222E-4
                      Federal of                    1          3.558086E-4
                     of Michigan                    1          3.056235E-4
                    Michigan and                    1         3.5650624E-4
                           and a                   24          0.003978991
                      a director                   24          0.004040078
                  director since                    1          3.539823E-4
                      since 1985                    1          3.558719E-4
                          1985 ,                    1         3.5669698E-4
                         , moved                    1          2.621232E-4
                        moved up                    1          3.566334E-4
                          up the                    2          5.321036E-4
                        the date                    1         2.8425243E-4
                         date of                    2          5.348547E-4
                          of his                    4         7.6405867E-4
                  his retirement                    2          5.276117E-4
                 retirement from                    1          3.563792E-4
                        from the                   22         0.0040436005
                       the board                  144            0.0206083
                        board to                   19          0.003348962
                  to accommodate                    2          4.796163E-4
                 accommodate Mr.                    1          3.566334E-4
                     Mr. Johnson                    2          5.186722E-4
                      Johnson 's                    1          3.563792E-4
                     's election                    1          3.338341E-4
                     election as                    1         3.5650624E-4
                            as a                   25          0.004517026
                      a director                   24          0.004040078
                         The two                    2         5.2101427E-4
                      two boards                    1          3.548616E-4
                     boards said                    1         3.5669698E-4
                         said in                    9         0.0016986581
                            in a                   23         0.0040234705
                         a joint                    1         3.2320622E-4
                 joint statement                    1          3.566334E-4
                  statement that                    2          5.336179E-4
                        that the                   52          0.009039741
                    the proposed                    1         2.8425243E-4
                 proposed merger                    1         3.5650624E-4
                merger agreement                    3          7.128854E-4
                   agreement was                    1         3.5606197E-4
                  was considered                    1          3.459609E-4
                   considered in                    1         3.5650624E-4
                     in separate                    1          3.352892E-4
                  separate board                    1          3.566334E-4
                  board meetings                    5         0.0010046886
                     meetings in                    1          3.563157E-4
                         in Oslo                    1          3.352892E-4
                     Oslo Monday                    1         3.5669698E-4
                     Wall Street                    4          8.911067E-4
                    Street would                    1          3.563792E-4
                      would like                    2          5.270555E-4
                        like UAL                    1         3.5606197E-4
                       UAL Corp.                    4          8.854259E-4
                        Corp. 's                    3          7.059654E-4
                        's board                   48          0.008178935
                        board to                   19          0.003348962
                       to change                    2          4.796163E-4
                      change its                    1          3.563792E-4
                        its mind                    1         3.4873583E-4
                      mind about                    1         3.5669698E-4
                   about keeping                    1         3.5410764E-4
                     keeping the                    2         5.3495006E-4
                     the company                   84          0.012080728
             company independent                    2         5.2146707E-4
                         Gone is                    1         3.5669698E-4
                           is D.                    1         3.4524425E-4
                       D. Joseph                    1          3.548616E-4
                     Joseph Corr                    1         3.5593522E-4
                          Corr ,                    1         3.5669698E-4
                           , the                  111          0.014678899
                     the airline                    5         8.5275725E-4
                      airline 's                    4          8.906306E-4
                     's chairman                   66          0.011183442
                      chairman ,                   92          0.015097403
                         , chief                    9          0.001310616
                 chief executive                  164          0.028467909
                   executive and                    5         0.0010353753
                   and president                   11         0.0019099156
                     president ,                   19          0.003511236
                     , appointed                    1          2.621232E-4
                  appointed only                    1          3.564427E-4
                       only last                    1          3.557453E-4
                   last December                    1          3.546728E-4
                        There is                    2         5.3447357E-4
                        is still                    2          5.178664E-4
                      still time                    1         3.5606197E-4
                          time ,                    2         5.3352304E-4
                       , however                    2          3.931848E-4
                       however ,                    2         5.3495006E-4
                           , for                    6          9.174312E-4
                        for Gov.                    1          3.471017E-4
                      Gov. Mario                    1         3.5669698E-4
                     Mario Cuomo                    1         3.5669698E-4
                        Cuomo or                    1         3.5669698E-4
                       or Fabian                    1         3.5323208E-4
                 Fabian Palomino                    1         3.5669698E-4
                      Palomino ,                    1         3.5669698E-4
                      , chairman                  187           0.02463958
                     chairman of                  225          0.036688313
                          of the                  266          0.040800735
                        the BPCA                    1         2.8425243E-4
                      BPCA board                    1         3.5669698E-4
                         board ,                   32          0.005525787
                            , to                   16         0.0022280472
                      to prevent                    1          3.197442E-4
                    prevent this                    1          3.566334E-4
                    this topiary                    1         3.5106196E-4
                      topiary ``                    1         3.5669698E-4
                       `` Tilted                    1         3.4164675E-4
                      Tilted Arc                    1         3.5669698E-4
                   '' Investment                    1         3.4205575E-4
              Investment bankers                    1          3.563792E-4
            bankers representing                    2         5.3475937E-4
                representing the                    2         5.3475937E-4
                     the buy-out                    5         8.5275725E-4
                   buy-out group                    5         0.0010672358
                       group and                    4         8.8495575E-4
                         and UAL                    2          4.774789E-4
                          UAL 's                   11         0.0021250222
                        's board                   48          0.008178935
                     board spent                    1         3.3489618E-4
                         spent a                    1          3.565698E-4
                       a frantic                    1         3.2320622E-4
                 frantic weekend                    1         3.5669698E-4
                  weekend trying                    1          3.563792E-4
                       trying to                    8          0.001603135
                       to hammer                    1          3.197442E-4
                      hammer out                    1         3.5669698E-4
                         out new                    1         3.5479866E-4
                       new terms                    1         3.5260932E-4
                      terms that                    1         3.5625222E-4
                      that would                    8         0.0015350503
                        would be                   21          0.003865074
